especie,lat,lon
Lepidium bipinnatifidum,5.057395,-75.515111
Lepidium bipinnatifidum,7.209972,-72.9378
Lepidium bipinnatifidum,4.98827,-75.589157
Lepidium bipinnatifidum,4.994997,-75.539721
Lepidium bipinnatifidum,5.076935,-75.522558
Lepidium bipinnatifidum,4.970848,-75.645826
Lepidium bipinnatifidum,5.096465,-75.536521
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,4.319845,-74.380912
Lepidium bipinnatifidum,5.088339,-75.484726
Lepidium bipinnatifidum,6.16667,-75.41667
Lepidium bipinnatifidum,7.0,-75.5
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,4.6054,-74.05553
Lepidium bipinnatifidum,4.951413,-74.085102
Lepidium bipinnatifidum,4.314618,-74.180754
Lepidium bipinnatifidum,4.465949,-74.263467
Lepidium bipinnatifidum,4.642509,-74.053887
Lepidium bipinnatifidum,4.723067,-74.459235
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,3.75,-76.5
Lepidium bipinnatifidum,3.75,-76.5
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,4.58,-74.08
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,4.671043,-74.047638
Lepidium bipinnatifidum,4.671043,-74.047638
Lepidium bipinnatifidum,6.120256,-75.677852
Lepidium bipinnatifidum,6.120256,-75.677852
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,3.8811,-72.8667
Lepidium bipinnatifidum,4.72847,-74.2647
Lepidium bipinnatifidum,5.94833,-73.1011
Lepidium bipinnatifidum,4.68091,-73.9163
Lepidium bipinnatifidum,4.60722,-74.0547
Lepidium bipinnatifidum,5.089179,-75.436399
Lepidium bipinnatifidum,4.946072,-75.380197
Lepidium bipinnatifidum,5.083394,-75.506748
Lepidium bipinnatifidum,5.443593,-75.755014
Lepidium bipinnatifidum,5.056389,-75.494444
Lepidium bipinnatifidum,5.0,-74.16667
